Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97319-84669,PG,Luka,Luka Doncic,Doncic,57.30000106148098,23,12600,DAL@POR,DAL,POR,,,,,,PG
97319-49111,C,Joel,Joel Embiid,Embiid,62.18571544828869,21,12500,PHI@CHA,PHI,CHA,,,,,,C
97319-55062,C,Nikola,Nikola Jokic,Jokic,59.7360009765625,25,12300,OKC@DEN,DEN,OKC,,,,,,C
97319-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,55.73636141690341,22,11700,OKC@DEN,OKC,DEN,,,,,,PG
97319-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,50.75714401971726,21,10700,IND@MIN,IND,MIN,GTD,Knee,,,,PG
97319-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.370001220703124,20,10100,ATL@CLE,CLE,ATL,,,,,,PG/SG
97319-84671,PG,Trae,Trae Young,Young,47.84545343572443,22,10000,ATL@CLE,ATL,CLE,,,,,,PG
97319-80810,PG,De'Aaron,De'Aaron Fox,Fox,47.405554877387154,18,9900,UTA@SAC,SAC,UTA,GTD,Shoulder,,,,PG
97319-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,45.54347826086956,23,9600,UTA@SAC,SAC,UTA,,,,,,PF/C
97319-42677,SG/PG,Terry,Terry Rozier,Rozier,42.378570556640625,14,9400,PHI@CHA,CHA,PHI,,,,,,PG/SG
97319-80817,C,Bam,Bam Adebayo,Adebayo,44.11249923706055,16,9300,CHI@MIA,MIA,CHI,O,Hip,,,,C
97319-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,41.07083384195963,24,9100,NY@LAC,LAC,NY,,,,,,SF/PF
97319-145485,PG,LaMelo,LaMelo Ball,Ball,44.5933349609375,15,9000,PHI@CHA,CHA,PHI,O,Ankle,,,,PG
97319-42669,PF,Julius,Julius Randle,Randle,41.55833435058594,24,9000,NY@LAC,NY,LAC,,,,,,PF
97319-145321,SG/SF,Anthony,Anthony Edwards,Edwards,39.814999389648435,20,8900,IND@MIN,MIN,IND,GTD,Hip,,,,SG/SF
97319-14514,C,Nikola,Nikola Vucevic,Vucevic,37.57692307692308,26,8800,CHI@MIA,CHI,MIA,,,,,,C
97319-9524,PG,Stephen,Stephen Curry,Curry,40.68181818181818,22,8700,BKN@GS,GS,BKN,,,,,,PG
97319-12341,SG/SF,Paul,Paul George,George,39.465217922044836,23,8600,NY@LAC,LAC,NY,GTD,Groin,,,,SG/SF
97319-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,38.95217497452445,23,8600,IND@MIN,MIN,IND,,,,,,PF/C
97319-14528,SF/PF,Jimmy,Jimmy Butler,Butler,37.642857142857146,21,8500,CHI@MIA,MIA,CHI,,,,,,SF/PF
97319-9644,SG/PG,James,James Harden,Harden,37.578947368421055,19,8500,NY@LAC,LAC,NY,,,,,,PG/SG
97319-145331,PG,Tyrese,Tyrese Maxey,Maxey,43.38695758322011,23,8500,PHI@CHA,PHI,CHA,,,,,,PG
97319-14498,PG/SG,Kyrie,Kyrie Irving,Irving,38.55294261259191,17,8400,DAL@POR,DAL,POR,O,Heel,,,,PG/SG
97319-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,39.837501525878906,16,8400,UTA@SAC,UTA,SAC,,,,,,SF/PF
97319-84690,PG,Jalen,Jalen Brunson,Brunson,40.479166666666664,24,8300,NY@LAC,NY,LAC,,,,,,PG
97319-40203,C,Rudy,Rudy Gobert,Gobert,37.182609226392664,23,8200,IND@MIN,MIN,IND,,,,,,C
97319-110326,PG,Coby,Coby White,White,30.142308161808895,26,8100,CHI@MIA,CHI,MIA,,,,,,PG
97319-84717,SG/PG,Anfernee,Anfernee Simons,Simons,35.4,5,8000,DAL@POR,POR,DAL,,,,,,PG/SG
97319-171759,C,Chet,Chet Holmgren,Holmgren,38.06956415591033,23,7900,OKC@DEN,OKC,DEN,,,,,,C
97319-171804,SF/SG,Shaedon,Shaedon Sharpe,Sharpe,31.74782661769701,23,7900,DAL@POR,POR,DAL,,,,,,SG/SF
97319-9714,SF,DeMar,DeMar DeRozan,DeRozan,38.13333384195963,24,7900,CHI@MIA,CHI,MIA,,,,,,SF
97319-58253,C,Myles,Myles Turner,Turner,35.31304400900136,23,7800,IND@MIN,IND,MIN,,,,,,C
97319-66108,PG,Jamal,Jamal Murray,Murray,33.2749989827474,12,7700,OKC@DEN,DEN,OKC,GTD,Ankle,,,,PG
97319-157845,PF/C,Evan,Evan Mobley,Mobley,38.07142857142857,21,7700,ATL@CLE,CLE,ATL,O,Knee,,,,PF/C
97319-67708,SG/PG,Dejounte,Dejounte Murray,Murray,37.0249989827474,24,7600,ATL@CLE,ATL,CLE,,,,,,PG/SG
97319-84670,SG/SF,Mikal,Mikal Bridges,Bridges,36.770833333333336,24,7600,BKN@GS,BKN,GS,,,,,,SG/SF
97319-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,29.3625005086263,24,7600,ATL@CLE,ATL,CLE,,,,,,SG/SF
97319-40783,SG,Zach,Zach LaVine,LaVine,33.383334689670136,18,7600,CHI@MIA,CHI,MIA,O,Foot,,,,SG
97319-171777,C,Walker,Walker Kessler,Kessler,28.69999964096967,17,7500,UTA@SAC,UTA,SAC,,,,,,C
97319-110342,PG,Darius,Darius Garland,Garland,34.45,20,7500,ATL@CLE,CLE,ATL,O,Jaw,,,,PG
97319-23831,PF/SF,Jerami,Jerami Grant,Grant,32.76841976768092,19,7500,DAL@POR,POR,DAL,GTD,Concussion,,,,SF/PF
97319-84673,C,Deandre,Deandre Ayton,Ayton,31.82105134662829,19,7400,DAL@POR,POR,DAL,,,,,,C
97319-84678,SF,Miles,Miles Bridges,Bridges,35.78461632361779,13,7400,PHI@CHA,CHA,PHI,,,,,,SF
97319-110312,SG,Tyler,Tyler Herro,Herro,37.4375,8,7400,CHI@MIA,MIA,CHI,O,Ankle,,,,SG
97319-12366,SF/SG,Gordon,Gordon Hayward,Hayward,31.118180708451703,22,7200,PHI@CHA,CHA,PHI,,,,,,SG/SF
97319-80821,C/PF,Jarrett,Jarrett Allen,Allen,28.804998779296874,20,7100,ATL@CLE,CLE,ATL,,,,,,PF/C
97319-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,30.9375,16,7100,DAL@POR,POR,DAL,,,,,,PG/SG
97319-15542,SG/PG,Spencer,Spencer Dinwiddie,Dinwiddie,30.378261400305707,23,7000,BKN@GS,BKN,GS,,,,,,PG/SG
97319-55055,SG/PG,Dante,Dante Exum,Exum,16.166666666666668,21,6900,DAL@POR,DAL,POR,,,,,,PG/SG
97319-55059,C,Clint,Clint Capela,Capela,31.899998982747395,24,6900,ATL@CLE,ATL,CLE,,,,,,C
97319-15860,PF/C,Draymond,Draymond Green,Green,26.00666707356771,15,6900,BKN@GS,GS,BKN,O,Suspension,,,,PF/C
97319-113267,SF/PF,Caleb,Caleb Martin,Martin,23.44666748046875,15,6800,CHI@MIA,MIA,CHI,,,,,,SF/PF
97319-66236,PF/C,John,John Collins,Collins,29.490908536044035,22,6800,UTA@SAC,UTA,SAC,O,Illness,,,,PF/C
97319-23798,SG/SF,Caris,Caris LeVert,LeVert,28.072221544053818,18,6800,ATL@CLE,CLE,ATL,,,,,,SG/SF
97319-110354,C,Nic,Nic Claxton,Claxton,32.24000040690104,15,6800,BKN@GS,BKN,GS,,,,,,C
97319-9623,PG,Chris,Chris Paul,Paul,27.214285714285715,21,6800,BKN@GS,GS,BKN,,,,,,PG
97319-188425,C,Dereck,Dereck Lively,Lively,26.37272782759233,22,6700,DAL@POR,DAL,POR,,,,,,C
97319-171760,SF/SG,Jalen,Jalen Williams,Williams,29.404998779296875,20,6700,OKC@DEN,OKC,DEN,,,,,,SG/SF
97319-157905,SG/PG,Josh,Josh Giddey,Giddey,27.456521739130434,23,6600,OKC@DEN,OKC,DEN,,,,,,PG/SG
97319-14518,PF/SF,Tobias,Tobias Harris,Harris,30.412501017252605,24,6500,PHI@CHA,PHI,CHA,,,,,,SF/PF
